"V1"	"V2"	"V3"
"SET37/REP_1"	"0.0845"	"0.013"
"SET37/REP_10"	"0.0685"	"0.015"
"SET37/REP_2"	"0.089"	"0.017"
"SET37/REP_3"	"0.067"	"0.01"
"SET37/REP_4"	"0.0675"	"0.015"
"SET37/REP_5"	"0.056"	"0.005"
"SET37/REP_6"	"0.0905"	"0.016"
"SET37/REP_7"	"0.0715"	"0.009"
"SET37/REP_8"	"0.0795"	"0.012"
"SET37/REP_9"	"0.0725"	"0.013"
"SET38/REP_1"	"0.082"	"0.016"
"SET38/REP_10"	"0.078"	"0.013"
"SET38/REP_2"	"0.0885"	"0.015"
"SET38/REP_3"	"0.101"	"0.017"
"SET38/REP_4"	"0.094"	"0.019"
"SET38/REP_5"	"0.0725"	"0.02"
"SET38/REP_6"	"0.0655"	"0.012"
"SET38/REP_7"	"0.0635"	"0.007"
"SET38/REP_8"	"0.118"	"0.02"
"SET38/REP_9"	"0.09"	"0.014"
"SET39/REP_1"	"0.0815"	"0.014"
"SET39/REP_10"	"0.068"	"0.015"
"SET39/REP_2"	"0.0505"	"0.012"
"SET39/REP_3"	"0.076"	"0.017"
"SET39/REP_4"	"0.081"	"0.013"
"SET39/REP_5"	"0.07"	"0.015"
"SET39/REP_6"	"0.0825"	"0.015"
"SET39/REP_7"	"0.0645"	"0.013"
"SET39/REP_8"	"0.095"	"0.018"
"SET39/REP_9"	"0.08"	"0.015"
"SET40/REP_1"	"0.5525"	"0.154"
"SET40/REP_10"	"0.468"	"0.122"
"SET40/REP_2"	"0.498"	"0.084"
"SET40/REP_3"	"0.6155"	"0.152"
"SET40/REP_4"	"0.5385"	"0.156"
"SET40/REP_5"	"0.5905"	"0.155"
"SET40/REP_6"	"0.589"	"0.139"
"SET40/REP_7"	"0.509"	"0.176"
"SET40/REP_8"	"0.502"	"0.122"
"SET40/REP_9"	"0.504"	"0.152"
"SET41/REP_1"	"0.5095"	"0.114"
"SET41/REP_10"	"0.5785"	"0.145"
"SET41/REP_2"	"0.5205"	"0.156"
"SET41/REP_3"	"0.4985"	"0.113"
"SET41/REP_4"	"0.5655"	"0.123"
"SET41/REP_5"	"0.606"	"0.153"
"SET41/REP_6"	"0.426"	"0.058"
"SET41/REP_7"	"0.509"	"0.153"
"SET41/REP_8"	"0.626"	"0.148"
"SET41/REP_9"	"0.618"	"0.151"
"SET42/REP_1"	"0.5695"	"0.115"
"SET42/REP_10"	"0.475"	"0.16"
"SET42/REP_2"	"0.523"	"0.143"
"SET42/REP_3"	"0.5575"	"0.128"
"SET42/REP_4"	"0.4805"	"0.166"
"SET42/REP_5"	"0.5225"	"0.153"
"SET42/REP_6"	"0.5765"	"0.163"
"SET42/REP_7"	"0.5105"	"0.157"
"SET42/REP_8"	"0.575"	"0.159"
"SET42/REP_9"	"0.6055"	"0.161"
"SET43/REP_1"	"0.9975"	"1.552"
"SET43/REP_10"	"0.9955"	"1.205"
"SET43/REP_2"	"0.9995"	"1.468"
"SET43/REP_3"	"0.9995"	"1.573"
"SET43/REP_4"	"0.999"	"1.127"
"SET43/REP_5"	"0.9995"	"1.215"
"SET43/REP_6"	"0.9985"	"1.002"
"SET43/REP_7"	"0.999"	"1.576"
"SET43/REP_8"	"0.9995"	"1.798"
"SET43/REP_9"	"1"	"1.388"
"SET44/REP_1"	"0.9975"	"1.267"
"SET44/REP_10"	"0.9995"	"1.656"
"SET44/REP_2"	"0.9995"	"1.499"
"SET44/REP_3"	"0.9995"	"0.963"
"SET44/REP_4"	"0.9995"	"1.544"
"SET44/REP_5"	"0.997"	"1.42"
"SET44/REP_6"	"0.998"	"1.551"
"SET44/REP_7"	"0.999"	"1.23"
"SET44/REP_8"	"1"	"1.488"
"SET44/REP_9"	"0.997"	"1.617"
"SET45/REP_1"	"0.9995"	"1.255"
"SET45/REP_10"	"1"	"1.021"
"SET45/REP_2"	"1"	"1.236"
"SET45/REP_3"	"0.9955"	"1.631"
"SET45/REP_4"	"0.998"	"1.641"
"SET45/REP_5"	"0.998"	"0.821"
"SET45/REP_6"	"0.9975"	"1.261"
"SET45/REP_7"	"0.996"	"1.371"
"SET45/REP_8"	"0.9975"	"1.765"
"SET45/REP_9"	"0.998"	"1.086"
"SET46/REP_1"	"0.3105"	"0.067"
"SET46/REP_10"	"0.3355"	"0.049"
"SET46/REP_2"	"0.3685"	"0.068"
"SET46/REP_3"	"0.317"	"0.069"
"SET46/REP_4"	"0.3855"	"0.071"
"SET46/REP_5"	"0.268"	"0.072"
"SET46/REP_6"	"0.2565"	"0.071"
"SET46/REP_7"	"0.388"	"0.059"
"SET46/REP_8"	"0.372"	"0.059"
"SET46/REP_9"	"0.282"	"0.083"
"SET47/REP_1"	"0.3235"	"0.063"
"SET47/REP_10"	"0.3185"	"0.085"
"SET47/REP_2"	"0.277"	"0.045"
"SET47/REP_3"	"0.359"	"0.079"
"SET47/REP_4"	"0.2565"	"0.044"
"SET47/REP_5"	"0.354"	"0.074"
"SET47/REP_6"	"0.3285"	"0.085"
"SET47/REP_7"	"0.3695"	"0.075"
"SET47/REP_8"	"0.3135"	"0.083"
"SET47/REP_9"	"0.3145"	"0.08"
"SET48/REP_1"	"0.309"	"0.063"
"SET48/REP_10"	"0.36"	"0.08"
"SET48/REP_2"	"0.3465"	"0.089"
"SET48/REP_3"	"0.3025"	"0.061"
"SET48/REP_4"	"0.297"	"0.048"
"SET48/REP_5"	"0.389"	"0.076"
"SET48/REP_6"	"0.2965"	"0.064"
"SET48/REP_7"	"0.321"	"0.079"
"SET48/REP_8"	"0.423"	"0.083"
"SET48/REP_9"	"0.229"	"0.049"
