"V1"	"V2"
"SET14/REP_7"	"0.5315"
"SET14/REP_8"	"0.6885"
"SET14/REP_9"	"0.5645"
"SET15/REP_1"	"0.5845"
"SET15/REP_10"	"0.49"
"SET15/REP_2"	"0.5815"
"SET15/REP_3"	"0.71"
"SET15/REP_4"	"0.575"
"SET15/REP_5"	"0.556"
"SET15/REP_6"	"0.6235"
"SET15/REP_7"	"0.663"
"SET15/REP_8"	"0.5545"
"SET15/REP_9"	"0.5825"
"SET16/REP_1"	"0.711"
"SET16/REP_10"	"0.555"
"SET16/REP_2"	"0.6525"
"SET16/REP_3"	"0.569"
"SET16/REP_4"	"0.5045"
"SET16/REP_5"	"0.675"
"SET16/REP_6"	"0.552"
"SET16/REP_7"	"0.6035"
"SET16/REP_8"	"0.531"
"SET16/REP_9"	"0.5605"
"SET17/REP_1"	"0.629"
"SET17/REP_10"	"0.6355"
"SET17/REP_2"	"0.646"
"SET17/REP_3"	"0.577"
"SET17/REP_4"	"0.5975"
"SET17/REP_5"	"0.56"
"SET17/REP_6"	"0.6095"
"SET17/REP_7"	"0.5805"
"SET17/REP_8"	"0.711"
"SET17/REP_9"	"0.565"
"SET18/REP_1"	"0.6505"
"SET18/REP_10"	"0.6185"
"SET18/REP_2"	"0.6495"
"SET18/REP_3"	"0.6255"
"SET18/REP_4"	"0.654"
"SET18/REP_5"	"0.6375"
"SET18/REP_6"	"0.4965"
"SET18/REP_7"	"0.756"
"SET18/REP_8"	"0.7135"
"SET18/REP_9"	"0.683"
"SET19/REP_1"	"1"
"SET19/REP_10"	"1"
"SET19/REP_2"	"0.9995"
"SET19/REP_3"	"1"
"SET19/REP_4"	"0.9995"
"SET19/REP_5"	"1"
"SET19/REP_6"	"0.9995"
"SET19/REP_7"	"1"
"SET19/REP_8"	"0.998"
"SET19/REP_9"	"0.998"
"SET2/REP_1"	"0.07"
"SET2/REP_10"	"0.103"
"SET2/REP_2"	"0.088"
"SET2/REP_3"	"0.121"
"SET2/REP_4"	"0.088"
"SET2/REP_5"	"0.1385"
"SET2/REP_6"	"0.105"
"SET2/REP_7"	"0.1185"
"SET2/REP_8"	"0.095"
"SET2/REP_9"	"0.093"
"SET20/REP_1"	"1"
"SET20/REP_10"	"0.999"
"SET20/REP_2"	"0.9995"
"SET20/REP_3"	"1"
"SET20/REP_4"	"0.9985"
"SET20/REP_5"	"1"
"SET20/REP_6"	"1"
"SET20/REP_7"	"0.9985"
"SET20/REP_8"	"1"
"SET20/REP_9"	"1"
"SET21/REP_1"	"1"
"SET21/REP_10"	"0.995"
"SET21/REP_2"	"1"
"SET21/REP_3"	"1"
"SET21/REP_4"	"0.9995"
"SET21/REP_5"	"0.9995"
"SET21/REP_6"	"0.9955"
"SET21/REP_7"	"0.9985"
"SET21/REP_8"	"0.999"
"SET21/REP_9"	"1"
"SET22/REP_1"	"1"
"SET22/REP_10"	"1"
"SET22/REP_2"	"0.9965"
"SET22/REP_3"	"1"
"SET22/REP_4"	"0.9965"
"SET22/REP_5"	"0.998"
"SET22/REP_6"	"0.998"
"SET22/REP_7"	"0.9965"
"SET22/REP_8"	"1"
"SET22/REP_9"	"1"
"SET23/REP_1"	"1"
"SET23/REP_10"	"1"
"SET23/REP_2"	"1"
"SET23/REP_3"	"0.9995"
"SET23/REP_4"	"1"
"SET23/REP_5"	"1"
"SET23/REP_6"	"1"
"SET23/REP_7"	"1"
"SET23/REP_8"	"1"
"SET23/REP_9"	"1"
"SET24/REP_1"	"1"
"SET24/REP_10"	"1"
"SET24/REP_2"	"1"
"SET24/REP_3"	"0.999"
"SET24/REP_4"	"1"
"SET24/REP_5"	"1"
"SET24/REP_6"	"0.9975"
"SET24/REP_7"	"0.9995"
"SET24/REP_8"	"1"
"SET24/REP_9"	"1"
"SET25/REP_1"	"0.9995"
"SET25/REP_10"	"1"
"SET25/REP_2"	"1"
"SET25/REP_3"	"1"
"SET25/REP_4"	"1"
"SET25/REP_5"	"1"
"SET25/REP_6"	"1"
"SET25/REP_7"	"0.9995"
"SET25/REP_8"	"1"
"SET25/REP_9"	"0.998"
"SET26/REP_1"	"1"
"SET26/REP_10"	"1"
"SET26/REP_2"	"1"
"SET26/REP_3"	"1"
"SET26/REP_4"	"1"
"SET26/REP_5"	"1"
"SET26/REP_6"	"0.9995"
"SET26/REP_7"	"1"
"SET26/REP_8"	"0.998"
"SET26/REP_9"	"0.9995"
"SET27/REP_1"	"0.9985"
"SET27/REP_10"	"1"
"SET27/REP_2"	"1"
"SET27/REP_3"	"1"
"SET27/REP_4"	"0.9995"
"SET27/REP_5"	"0.9975"
"SET27/REP_6"	"1"
"SET27/REP_7"	"0.999"
"SET27/REP_8"	"0.998"
"SET27/REP_9"	"0.9995"
"SET3/REP_1"	"0.08"
"SET3/REP_10"	"0.094"
"SET3/REP_2"	"0.0665"
"SET3/REP_3"	"0.134"
"SET3/REP_4"	"0.073"
"SET3/REP_5"	"0.072"
"SET3/REP_6"	"0.114"
"SET3/REP_7"	"0.0975"
"SET3/REP_8"	"0.0795"
"SET3/REP_9"	"0.0805"
"SET4/REP_1"	"0.104"
"SET4/REP_10"	"0.0985"
"SET4/REP_2"	"0.0805"
"SET4/REP_3"	"0.0765"
"SET4/REP_4"	"0.1285"
"SET4/REP_5"	"0.099"
"SET4/REP_6"	"0.085"
"SET4/REP_7"	"0.1075"
"SET4/REP_8"	"0.078"
"SET4/REP_9"	"0.0725"
"SET5/REP_1"	"0.103"
"SET5/REP_10"	"0.06"
"SET5/REP_2"	"0.1055"
"SET5/REP_3"	"0.0535"
"SET5/REP_4"	"0.0795"
"SET5/REP_5"	"0.097"
"SET5/REP_6"	"0.079"
"SET5/REP_7"	"0.0705"
"SET5/REP_8"	"0.0715"
"SET5/REP_9"	"0.0835"
"SET6/REP_1"	"0.0925"
"SET6/REP_10"	"0.1175"
"SET6/REP_2"	"0.0765"
"SET6/REP_3"	"0.092"
"SET6/REP_4"	"0.1025"
"SET6/REP_5"	"0.0785"
"SET6/REP_6"	"0.0955"
"SET6/REP_7"	"0.0955"
"SET6/REP_8"	"0.0825"
"SET6/REP_9"	"0.0865"
"SET7/REP_1"	"0.0775"
"SET7/REP_10"	"0.0715"
"SET7/REP_2"	"0.092"
"SET7/REP_3"	"0.097"
"SET7/REP_4"	"0.0755"
"SET7/REP_5"	"0.0985"
"SET7/REP_6"	"0.0625"
"SET7/REP_7"	"0.084"
"SET7/REP_8"	"0.0515"
"SET7/REP_9"	"0.087"
"SET8/REP_1"	"0.092"
"SET8/REP_10"	"0.0555"
"SET8/REP_2"	"0.079"
"SET8/REP_3"	"0.083"
"SET8/REP_4"	"0.0795"
"SET8/REP_5"	"0.112"
"SET8/REP_6"	"0.0835"
"SET8/REP_7"	"0.073"
"SET8/REP_8"	"0.123"
"SET8/REP_9"	"0.097"
"SET9/REP_1"	"0.072"
"SET9/REP_10"	"0.105"
"SET9/REP_2"	"0.0645"
"SET9/REP_3"	"0.1015"
"SET9/REP_4"	"0.119"
"SET9/REP_5"	"0.0585"
"SET9/REP_6"	"0.0815"
"SET9/REP_7"	"0.091"
"SET9/REP_8"	"0.088"
"SET9/REP_9"	"0.1105"
