"V1"	"V2"	"V3"
"SET21/REP_7"	"0.9985"	"0.995"
"SET21/REP_8"	"0.999"	"1.156"
"SET21/REP_9"	"1"	"1.773"
"SET22/REP_1"	"1"	"1.61"
"SET22/REP_10"	"1"	"1.9"
"SET22/REP_2"	"0.9965"	"1.049"
"SET22/REP_3"	"1"	"0.977"
"SET22/REP_4"	"0.9965"	"1.731"
"SET22/REP_5"	"0.998"	"0.561"
"SET22/REP_6"	"0.998"	"0.897"
"SET22/REP_7"	"0.9965"	"1.131"
"SET22/REP_8"	"1"	"1.869"
"SET22/REP_9"	"1"	"0.922"
"SET23/REP_1"	"1"	"1.643"
"SET23/REP_10"	"1"	"1.93"
"SET23/REP_2"	"1"	"1.757"
"SET23/REP_3"	"0.9995"	"0.752"
"SET23/REP_4"	"1"	"1.745"
"SET23/REP_5"	"1"	"1.766"
"SET23/REP_6"	"1"	"1.586"
"SET23/REP_7"	"1"	"1.733"
"SET23/REP_8"	"1"	"1.816"
"SET23/REP_9"	"1"	"1.148"
"SET24/REP_1"	"1"	"1.634"
"SET24/REP_10"	"1"	"1.369"
"SET24/REP_2"	"1"	"1.487"
"SET24/REP_3"	"0.999"	"1.236"
"SET24/REP_4"	"1"	"1.627"
"SET24/REP_5"	"1"	"1.316"
"SET24/REP_6"	"0.9975"	"1.625"
"SET24/REP_7"	"0.9995"	"1.645"
"SET24/REP_8"	"1"	"1.837"
"SET24/REP_9"	"1"	"1.774"
"SET25/REP_1"	"0.9995"	"1.778"
"SET25/REP_10"	"1"	"1.567"
"SET25/REP_2"	"1"	"1.799"
"SET25/REP_3"	"1"	"1.505"
"SET25/REP_4"	"1"	"1.78"
"SET25/REP_5"	"1"	"1.68"
"SET25/REP_6"	"1"	"1.792"
"SET25/REP_7"	"0.9995"	"1.287"
"SET25/REP_8"	"1"	"1.415"
"SET25/REP_9"	"0.998"	"0.965"
"SET26/REP_1"	"1"	"1.269"
"SET26/REP_10"	"1"	"1.771"
"SET26/REP_2"	"1"	"1.569"
"SET26/REP_3"	"1"	"1.146"
"SET26/REP_4"	"1"	"1.565"
"SET26/REP_5"	"1"	"1.422"
"SET26/REP_6"	"0.9995"	"1.157"
"SET26/REP_7"	"1"	"1.813"
"SET26/REP_8"	"0.998"	"0.775"
"SET26/REP_9"	"0.9995"	"1.357"
"SET27/REP_1"	"0.9985"	"1.074"
"SET27/REP_10"	"1"	"1.578"
"SET27/REP_2"	"1"	"1.738"
"SET27/REP_3"	"1"	"1.686"
"SET27/REP_4"	"0.9995"	"1.17"
"SET27/REP_5"	"0.9975"	"0.625"
"SET27/REP_6"	"1"	"1.488"
"SET27/REP_7"	"0.999"	"1.791"
"SET27/REP_8"	"0.998"	"0.682"
"SET27/REP_9"	"0.9995"	"1.642"
