"V1"	"V2"	"V3"
"SET28/REP_1"	"0.2305"	"0.026"
"SET28/REP_10"	"0.326"	"0.074"
"SET28/REP_2"	"0.3975"	"0.072"
"SET28/REP_3"	"0.4125"	"0.099"
"SET28/REP_4"	"0.2375"	"0.04"
"SET28/REP_5"	"0.3285"	"0.062"
"SET28/REP_6"	"0.367"	"0.091"
"SET28/REP_7"	"0.4245"	"0.096"
"SET28/REP_8"	"0.323"	"0.078"
"SET28/REP_9"	"0.3355"	"0.095"
"SET29/REP_1"	"0.499"	"0.089"
"SET29/REP_10"	"0.288"	"0.036"
"SET29/REP_2"	"0.4075"	"0.089"
"SET29/REP_3"	"0.368"	"0.071"
"SET29/REP_4"	"0.317"	"0.086"
"SET29/REP_5"	"0.377"	"0.086"
"SET29/REP_6"	"0.366"	"0.053"
"SET29/REP_7"	"0.336"	"0.08"
"SET29/REP_8"	"0.3595"	"0.063"
"SET29/REP_9"	"0.328"	"0.045"
"SET30/REP_1"	"0.392"	"0.081"
"SET30/REP_10"	"0.4225"	"0.082"
"SET30/REP_2"	"0.3515"	"0.095"
"SET30/REP_3"	"0.417"	"0.082"
"SET30/REP_4"	"0.35"	"0.067"
"SET30/REP_5"	"0.32"	"0.051"
"SET30/REP_6"	"0.4145"	"0.074"
"SET30/REP_7"	"0.3905"	"0.076"
"SET30/REP_8"	"0.3935"	"0.086"
"SET30/REP_9"	"0.2935"	"0.05"
"SET31/REP_1"	"0.2915"	"0.056"
"SET31/REP_10"	"0.246"	"0.032"
"SET31/REP_2"	"0.337"	"0.052"
"SET31/REP_3"	"0.3985"	"0.07"
"SET31/REP_4"	"0.3565"	"0.088"
"SET31/REP_5"	"0.282"	"0.052"
"SET31/REP_6"	"0.42"	"0.071"
"SET31/REP_7"	"0.272"	"0.053"
"SET31/REP_8"	"0.331"	"0.061"
"SET31/REP_9"	"0.311"	"0.089"
"SET32/REP_1"	"0.419"	"0.088"
"SET32/REP_10"	"0.3755"	"0.092"
"SET32/REP_2"	"0.415"	"0.07"
"SET32/REP_3"	"0.5175"	"0.086"
"SET32/REP_4"	"0.331"	"0.071"
"SET32/REP_5"	"0.381"	"0.091"
"SET32/REP_6"	"0.407"	"0.086"
"SET32/REP_7"	"0.404"	"0.085"
"SET32/REP_8"	"0.334"	"0.083"
"SET32/REP_9"	"0.369"	"0.09"
"SET33/REP_1"	"0.405"	"0.089"
"SET33/REP_10"	"0.337"	"0.04"
"SET33/REP_2"	"0.3685"	"0.078"
"SET33/REP_3"	"0.255"	"0.087"
"SET33/REP_4"	"0.38"	"0.049"
"SET33/REP_5"	"0.406"	"0.073"
"SET33/REP_6"	"0.3485"	"0.071"
"SET33/REP_7"	"0.37"	"0.091"
"SET33/REP_8"	"0.4335"	"0.087"
"SET33/REP_9"	"0.333"	"0.068"
"SET34/REP_1"	"0.3985"	"0.085"
"SET34/REP_10"	"0.3475"	"0.055"
"SET34/REP_2"	"0.2985"	"0.069"
"SET34/REP_3"	"0.3375"	"0.085"
"SET34/REP_4"	"0.365"	"0.096"
"SET34/REP_5"	"0.444"	"0.096"
"SET34/REP_6"	"0.3225"	"0.069"
"SET34/REP_7"	"0.3535"	"0.056"
"SET34/REP_8"	"0.3655"	"0.049"
"SET34/REP_9"	"0.3025"	"0.05"
"SET35/REP_1"	"0.347"	"0.094"
"SET35/REP_10"	"0.422"	"0.091"
"SET35/REP_2"	"0.4755"	"0.082"
"SET35/REP_3"	"0.3785"	"0.085"
"SET35/REP_4"	"0.385"	"0.098"
"SET35/REP_5"	"0.392"	"0.057"
"SET35/REP_6"	"0.4045"	"0.067"
"SET35/REP_7"	"0.335"	"0.086"
"SET35/REP_8"	"0.361"	"0.09"
"SET35/REP_9"	"0.353"	"0.042"
"SET36/REP_1"	"0.3795"	"0.08"
"SET36/REP_10"	"0.3515"	"0.09"
"SET36/REP_2"	"0.382"	"0.081"
"SET36/REP_3"	"0.3855"	"0.077"
"SET36/REP_4"	"0.32"	"0.059"
"SET36/REP_5"	"0.319"	"0.057"
"SET36/REP_6"	"0.3315"	"0.08"
"SET36/REP_7"	"0.3565"	"0.092"
"SET36/REP_8"	"0.4485"	"0.083"
"SET36/REP_9"	"0.354"	"0.083"
